id,name,state,lat,lng,population,population_growth_pct,median_weekly_household_income,median_weekly_rent,overseas_born_pct,family_households_pct,culture_1_country,culture_1_pct,culture_2_country,culture_2_pct,culture_3_country,culture_3_pct,culture_4_country,culture_4_pct,train_pct,tram_pct,bus_pct,car_pct,bicycle_pct,walked_pct,worked_from_home_pct,primary_school_drive_time,hospital_drive_time,gp_clinic_drive_time,childcare_drive_time,cluster_id,cluster_label,similar_suburbs,census_year
vic-abbotsford,Abbotsford,VIC,-37.80378290499996,145.00001168156814,9088,11.0,2197,425,39.4,47.9,Australia,60.6,Vietnam,3.9,England,3.7,New Zealand,3.1,2.2,4.2,0.8,21.4,3.8,5.8,45.8,2–4 min,4–10 min,0–2 min,0–2 min,4,Share / non-family households + Culturally diverse,Collingwood; Fitzroy; South Melbourne,2021
vic-aberfeldie,Aberfeldie,VIC,-37.75984430799994,144.89693710328535,3925,0.7,2571,440,21.2,78.1,Australia,78.8,Italy,2.7,England,1.8,Vietnam,1.4,0.9,0.2,0.1,42.7,0.7,1.8,34.4,0–2 min,10–30 min,2–4 min,0–2 min,9,Higher-income + Family-oriented,Strathmore; Eltham; Aspendale,2021
vic-aintree,Aintree,VIC,-37.717523332999974,144.6637216781176,7982,,2348,420,56.0,91.8,Australia,44.0,India,26.3,Philippines,5.0,New Zealand,2.3,2.7,0.1,0.1,56.1,0.0,0.4,22.8,2–4 min,10–30 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Lyndhurst; Burnside Heights; Lynbrook,2021
vic-airport-west,Airport West,VIC,-37.722503925999945,144.88023822459343,8173,8.1,1761,401,27.8,65.7,Australia,72.2,Italy,5.8,India,2.4,England,1.4,0.9,0.5,0.4,50.9,0.4,1.3,27.1,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Bonbeach; Carrum; Mentone,2021
vic-albanvale,Albanvale,VIC,-37.74573080349995,144.76910185499318,5641,2.7,1279,325,59.4,79.0,Australia,40.6,Vietnam,17.1,Philippines,3.8,Myanmar,3.7,1.9,0.0,0.5,63.3,0.1,0.1,12.9,2–4 min,10–30 min,2–4 min,0–2 min,3,Culturally diverse + More affordable incomes,Kings Park; Meadow Heights; Dandenong North,2021
vic-albert-park,Albert Park,VIC,-37.84555597749994,144.95114840346196,6044,-2.8,2533,590,30.2,63.7,Australia,69.8,England,5.3,Greece,3.4,New Zealand,2.1,0.3,3.4,0.1,26.6,2.1,4.4,47.4,0–2 min,4–10 min,0–2 min,0–2 min,5,Higher-income + Higher-rent,Portsea; Brighton; Clifton Hill,2021
vic-albion,Albion,VIC,-37.775570191999975,144.81527205239803,4334,-8.4,1310,301,55.2,56.4,Australia,44.8,India,7.1,Vietnam,6.4,Philippines,3.7,7.6,0.0,1.5,44.0,0.6,1.4,21.9,0–2 min,4–10 min,2–4 min,0–2 min,3,Culturally diverse + More affordable incomes,Ardeer; Laverton; Eumemmerring,2021
vic-alphington,Alphington,VIC,-37.778196901999934,145.03005977109768,5702,12.2,2429,451,25.7,63.9,Australia,74.3,England,3.6,China,2.3,Greece,1.7,2.9,0.1,0.7,30.1,2.9,1.8,44.5,2–4 min,4–10 min,2–4 min,0–2 min,5,Higher-income + Higher-rent,Seddon; Malvern; Yarraville,2021
vic-altona,Altona,VIC,-37.86232471099996,144.81545571225433,11490,6.8,1826,385,32.7,65.6,Australia,67.3,England,4.8,New Zealand,2.5,Malta,1.8,2.8,0.0,0.4,41.3,0.9,1.6,35.7,2–4 min,10–30 min,0–2 min,0–2 min,6,Share / non-family households + More affordable incomes,Mentone; Heidelberg Heights; Ringwood East,2021
vic-altona-meadows,Altona Meadows,VIC,-37.87996854049996,144.78284713165363,18479,-3.6,1573,341,37.8,70.5,Australia,62.2,India,2.7,England,2.7,Vietnam,2.3,2.1,0.0,0.5,53.8,0.3,0.6,23.4,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Cranbourne; Werribee; Westmeadows,2021
vic-altona-north,Altona North,VIC,-37.83866512599997,144.83143903612608,12962,6.7,1695,400,40.9,70.5,Australia,59.1,Lebanon,3.8,Italy,3.6,Vietnam,3.4,1.1,0.0,1.1,48.1,0.6,0.9,30.4,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Bundoora; Bonnie Brook; Forest Hill,2021
vic-ardeer,Ardeer,VIC,-37.77538105649995,144.80057674182615,3170,2.2,1452,340,52.7,63.2,Australia,47.3,Vietnam,9.2,India,3.8,New Zealand,2.3,2.5,0.0,0.8,54.5,0.7,1.2,21.9,2–4 min,4–10 min,4–10 min,0–2 min,3,Culturally diverse + More affordable incomes,Kingsbury; Sunshine; Laverton,2021
vic-armadale,Armadale,VIC,-37.857603300999955,145.0196713918867,9368,3.5,2193,421,32.7,54.0,Australia,67.3,England,3.5,China,3.1,India,2.2,4.3,2.1,0.1,29.8,0.9,2.9,44.7,2–4 min,4–10 min,0–2 min,0–2 min,4,Share / non-family households + Culturally diverse,Kensington; Hawthorn; Brunswick,2021
vic-arthurs-creek,Arthurs Creek,VIC,-37.567839360999955,145.2021242747474,478,-3.6,2214,218,17.4,84.1,Australia,82.6,England,4.0,New Zealand,1.7,China,0.8,0.0,0.0,0.0,52.7,0.0,3.9,24.8,4–10 min,30–90 min,4–10 min,4–10 min,8,Lower-rent + Predominantly Australian-born,Tynong North; Cottles Bridge; Tonimbuk,2021
vic-arthurs-seat,Arthurs Seat,VIC,-38.360779056999945,144.95974325021768,414,5.1,2015,435,18.6,80.4,Australia,81.4,England,5.8,United States,2.7,Greece,1.9,0.0,0.0,0.0,43.1,0.0,0.0,30.7,4–10 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Strathmore Heights; Bayles; Emerald,2021
vic-ascot-vale,Ascot Vale,VIC,-37.77986913399994,144.92276776988973,15197,3.0,2192,370,32.8,64.8,Australia,67.2,Vietnam,2.6,England,2.3,Italy,2.0,2.6,2.0,0.3,33.0,1.8,1.8,39.8,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Kingsville; South Kingsville; Essendon,2021
vic-ashburton,Ashburton,VIC,-37.86703574099997,145.0795015812607,7952,2.6,2743,455,30.7,77.7,Australia,69.3,China,5.8,England,2.9,India,2.1,2.6,0.1,0.4,32.9,1.2,2.1,44.8,2–4 min,4–10 min,2–4 min,0–2 min,9,Higher-income + Family-oriented,Eaglemont; Ivanhoe East; Aberfeldie,2021
vic-ashwood,Ashwood,VIC,-37.865690651999955,145.1024932235647,7154,3.9,1909,391,43.2,68.1,Australia,56.8,China,9.7,India,3.1,England,2.5,2.2,0.1,0.9,39.7,0.2,0.9,38.6,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Nunawading; Oakleigh; Huntingdale,2021
vic-aspendale,Aspendale,VIC,-38.02205739849995,145.10317297617013,7285,5.0,2343,460,21.9,77.0,Australia,78.1,England,4.4,New Zealand,1.4,China,0.8,2.3,0.0,0.3,44.6,0.5,1.2,34.5,2–4 min,10–30 min,2–4 min,0–2 min,9,Higher-income + Family-oriented,Strathmore; Eltham; Red Hill,2021
vic-aspendale-gardens,Aspendale Gardens,VIC,-38.02252024499995,145.1233988737951,6427,-1.6,2210,496,33.6,83.1,Australia,66.4,England,3.7,India,3.0,China,2.6,0.9,0.0,0.3,52.6,0.5,1.1,26.3,2–4 min,10–30 min,2–4 min,0–2 min,9,Higher-income + Family-oriented,Cranbourne South; Steels Creek; Ringwood North,2021
vic-attwood,Attwood,VIC,-37.66716633399997,144.88301363329902,3309,-3.2,2209,358,25.8,82.2,Australia,74.2,Italy,3.1,Sri Lanka,1.6,Turkey,1.5,0.8,0.0,0.0,58.9,0.0,0.6,21.8,2–4 min,4–10 min,2–4 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Cape Schanck; Yallambie; St Andrews,2021
vic-avondale-heights,Avondale Heights,VIC,-37.76291937549996,144.86300302414276,12388,6.5,1587,400,43.7,74.7,Australia,56.3,Italy,8.7,Vietnam,5.7,Greece,2.3,1.0,0.2,0.6,50.8,0.3,1.0,27.1,2–4 min,10–30 min,2–4 min,2–4 min,6,Share / non-family households + More affordable incomes,Kealba; Bundoora; Bonnie Brook,2021
vic-avonsleigh,Avonsleigh,VIC,-37.91373736899993,145.48216114139973,844,-0.9,2055,356,17.7,85.2,Australia,82.3,England,5.8,Netherlands,0.8,New Zealand,0.7,0.0,0.0,0.7,55.0,0.0,1.4,25.2,4–10 min,10–30 min,4–10 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Yellingbo; Nar Nar Goon North; Hoddles Creek,2021
vic-badger-creek,Badger Creek,VIC,-37.68810338649996,145.5386067267907,1610,3.0,1481,323,18.3,74.7,Australia,81.7,England,5.5,New Zealand,1.1,Scotland,1.1,0.0,0.0,0.5,61.9,0.5,1.6,13.6,2–4 min,4–10 min,4–10 min,2–4 min,1,More affordable incomes + Lower-rent,Cannons Creek; Crib Point; Healesville,2021
vic-balaclava,Balaclava,VIC,-37.87066454999996,144.99480762019203,5392,-0.1,2026,386,39.7,49.4,Australia,60.3,England,4.7,India,2.9,New Zealand,2.6,5.2,2.5,0.4,24.2,1.7,3.9,43.6,0–2 min,2–4 min,0–2 min,0–2 min,4,Share / non-family households + Culturally diverse,St Kilda East; St Kilda West; Parkville,2021
vic-balnarring,Balnarring,VIC,-38.360727862999966,145.12370575797183,2371,4.4,1918,480,20.6,77.3,Australia,79.4,England,7.1,New Zealand,1.2,United States,0.6,0.0,0.0,0.0,52.0,0.4,1.8,26.7,4–10 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Strathmore Heights; Mount Martha; Arthurs Seat,2021
vic-balnarring-beach,Balnarring Beach,VIC,-38.39200181199996,145.1196659185902,471,12.7,1637,423,23.4,76.1,Australia,76.6,England,4.5,United States,1.9,New Zealand,1.7,0.0,0.0,0.0,50.3,0.0,0.0,26.5,4–10 min,10–30 min,2–4 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Croydon South; Bunyip North; Devon Meadows,2021
vic-balwyn,Balwyn,VIC,-37.80993528199994,145.08729293090244,13495,1.4,1975,451,48.4,72.1,Australia,51.6,China,17.2,India,3.6,Malaysia,3.3,1.2,1.4,0.8,38.8,0.3,2.1,38.0,2–4 min,4–10 min,0–2 min,0–2 min,0,Culturally diverse + Family-oriented,Oakleigh South; Wantirna South; Mount Waverley,2021
vic-balwyn-north,Balwyn North,VIC,-37.79075100199995,145.08461906633022,21302,4.4,2346,554,45.7,81.3,Australia,54.3,China,14.4,Malaysia,3.8,India,2.7,0.5,0.9,1.6,42.0,0.3,0.9,36.6,2–4 min,4–10 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Templestowe; Vermont South; Mount Waverley,2021
vic-bangholme,Bangholme,VIC,-38.04713608099996,145.17610627371516,749,-4.5,644,176,41.1,42.0,Australia,58.9,England,10.4,New Zealand,3.2,Scotland,2.5,0.0,0.0,0.0,59.7,0.0,6.3,17.6,2–4 min,10–30 min,4–10 min,4–10 min,1,More affordable incomes + Lower-rent,McMahons Creek; Warburton; Heidelberg West,2021
vic-baxter,Baxter,VIC,-38.19750624499997,145.15563243887078,2166,0.2,1493,360,18.5,66.9,Australia,81.5,England,5.3,New Zealand,1.4,Germany,0.9,0.4,0.0,0.4,67.4,0.0,2.4,13.1,4–10 min,4–10 min,2–4 min,2–4 min,1,More affordable incomes + Lower-rent,Warneet; Healesville; Crib Point,2021
vic-bayles,Bayles,VIC,-38.17698188299994,145.57600868892098,445,-3.5,1897,425,15.3,81.8,Australia,84.7,England,4.3,New Zealand,1.8,Nepal,0.9,0.0,0.0,0.0,51.7,0.0,2.1,24.4,4–10 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Arthurs Seat; Pearcedale; Cardinia,2021
vic-bayswater,Bayswater,VIC,-37.84629086199996,145.2662030774809,12262,4.3,1598,375,39.0,67.8,Australia,61.0,China,5.4,India,4.0,England,2.7,2.0,0.0,0.7,54.0,0.4,1.1,23.7,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Hadfield; Ringwood; Bonnie Brook,2021
vic-bayswater-north,Bayswater North,VIC,-37.826148477999965,145.28401408333366,9014,2.6,1675,360,27.9,70.7,Australia,72.1,India,3.2,England,3.2,China,2.4,1.2,0.0,0.5,56.6,0.6,0.9,22.1,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Carrum Downs; Boronia; Croydon,2021
